Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin Date	Delta Time (s)	Begin Clock Time	Sonotype	Group	Type Spe	obs
416	Spectrogram 1	1	196378.518621175	196378.888777862	1035.866	1542.290	20180908_060000_13A_24H.wav	2018/9/8	0.3702	6:12:04.5186	102	b	1	
418	Spectrogram 1	1	196391.058100000	196391.461988594	1123.399	1442.451	20180908_060000_13A_24H.wav	2018/9/8	0.4039	6:12:16.0581	102	b	0	
427	Spectrogram 1	1	196416.093400000	196419.919937879	1726.444	2831.111	20180908_060000_13A_24H.wav	2018/9/8	3.8265	6:12:41.0934	103	b	0	
434	Spectrogram 1	1	196376.093800000	196379.202300000	1590.524	2924.194	20180908_060000_13A_24H.wav	2018/9/8	3.1085	6:12:01.0938	103	b	1	
436	Spectrogram 1	1	196387.502200000	196390.429800000	1857.473	2626.427	20180908_060000_13A_24H.wav	2018/9/8	2.9276	6:12:13.5022	103	b	0	
438	Spectrogram 1	1	196397.368700000	196398.691200000	1817.527	2736.277	20180908_060000_13A_24H.wav	2018/9/8	1.3225	6:12:22.3687	103	b	0	
496	Spectrogram 1	1	196400.286000000	196402.563400000	2067.696	2842.255	20180908_060000_13A_24H.wav	2018/9/8	2.2774	6:12:25.2860	103	b	0	
505	Spectrogram 1	1	196379.497200000	196383.149700000	1707.850	2820.807	20180908_060000_13A_24H.wav	2018/9/8	3.6525	6:12:05.4972	103	b	0	
441	Spectrogram 1	1	196376.744700000	196378.255400000	4024.995	5730.338	20180908_060000_13A_24H.wav	2018/9/8	1.5107	6:12:02.7447	104	b	1	
442	Spectrogram 1	1	196381.575900000	196382.932600000	3971.095	5705.886	20180908_060000_13A_24H.wav	2018/9/8	1.3567	6:12:07.5759	104	b	0	
443	Spectrogram 1	1	196388.760100000	196390.438200000	3999.651	5634.496	20180908_060000_13A_24H.wav	2018/9/8	1.6781	6:12:14.7601	104	b	0	
444	Spectrogram 1	1	196405.330300000	196406.485000000	3963.956	5591.661	20180908_060000_13A_24H.wav	2018/9/8	1.1547	6:12:30.3303	104	b	0	
445	Spectrogram 1	1	196412.543800000	196413.855000000	3913.983	5634.496	20180908_060000_13A_24H.wav	2018/9/8	1.3112	6:12:38.5438	104	b	0	
446	Spectrogram 1	1	196423.838700000	196425.285000000	3935.400	5613.079	20180908_060000_13A_24H.wav	2018/9/8	1.4463	6:12:49.8387	104	b	0	
